url,headline,date of published,article_content
https://selangorjournal.my/2023/10/rubber-tapper-gets-eight-year-jail-fine-for-attempted-murder/,"Rubber tapper gets eight-year jail, fine for attempted murder",2023-10-25T13:31:56+08:00,"KUALA KANGSAR, Oct 25 — A rubber tapper was sentenced to eight years’ imprisonment and fined RM3,000 by the Sessions Court here today for attempting to kill a policeman last week. Judge Rohaida Ishak ordered the man, Mohamad Saidi Che Omar, 31, to serve the jail sentence from the date of his arrest and to serve another five months if he failed to pay the fine after he pleaded guilty to the charge. Mohamad Saidi was charged under Section 307 of the Penal Code with attempting to murder the policeman, Reymee Abdul Rahman, 38, by using an axe to slash the victim on his arms and head at an oil palm estate in Felda Bersia, Gerik at about 11.30 am, on Oct 17. Based on the facts of the case, Reymee and his partner had gone to the estate for an anti-drug operation dubbed Ops Tapis. When they stopped Mohamad Saidi for inspection, the man started attacking them using an axe in one hand and a machete in the other hand, injuring Raymee on the head and arms. In defence, Raymee fired two shots which hit Mohamad Saidi on the knee. Once apprehended and searched, packets of methamphetamine and ganja were found in the man’s pockets. — Bernama   TAGS:x   Wednesday, 25 October 2023 "
https://selangorjournal.my/2023/10/two-freed-over-false-documents-submission-charge/,Two freed over false documents submission charge,2023-10-24T20:38:07+08:00,"KUALA LUMPUR, Oct 24 — The High Court acquitted and discharged two former directors of a rubber manufacturing company on a charge of submitting false documents to Grant Thornton Malaysia PLT over a non-existent sale of used machines totalling nearly RM3 million two years ago. Lawyer Amer Hamzah Arshad, representing Wong Ping Kiong, 60, and Tai Boon Wee, 63, said Judge Datuk Azhar Abdul Hamid ordered both his clients to be freed after allowing their applications to set aside the charges made against them. Deputy public prosecutor Law Chin How confirmed the matter. Based on the notice of motion, Wong and Tai filed the applications to set aside the charges under Section 18 of the Malaysian Anti-Corruption Commission 2009 because they could not be said to ‘intend’ to deceive or mislead Grant Thornton if the documents referred to had nothing to do with the company. On January 13 this year, Wong pleaded not guilty to four counts of submitting false documents to Grant Thornton Malaysia PLT over a non-existent sale of used machines totalling nearly RM3 million. According to the first charge, she allegedly submitted the GIIB Rubber Debit Note document dated December 30, 2019, amounting to RM2.95 million to Grant Thornton Malaysia’s audit manager Tam Siew Ping, containing false information regarding the sale of six units of used machines that did not take place which was intended to deceive the company. For the second to fourth charges, Wong is accused of the same offence involving another document containing the permission granted to Goodway Rubber Industries Sdn Bhd for the disposal of the same used machines that did not take place. She is accused of committing the offence at Grant Thornton Malaysia’s office at Sheraton Imperial Court, along Jalan Sultan Ismail, between January and February 2021, under Section 18 of the Malaysian Anti-Corruption Commission (MACC) Act 2009. The offence is punishable under Section 24 (2) of the same Act with imprisonment of up to 20 years and a fine of not less than five times the value of the false details or RM10,000, whichever is higher, upon conviction. As for Tai, he pleaded not guilty to three charges of colluding with Wong to commit the offence at the same location and date. The charges were framed under Section 28(1)(c) of the MACC Act 2009, read together with Section 8 of the same Act, punishable under Section 24(2) of the act, which carries an imprisonment of up to 20 years and a fine of not less than five times the value of the false information or RM10,000 whichever is higher, upon conviction. — Bernama "
https://selangorjournal.my/2023/10/police-not-discounting-condo-guards-aiding-call-centre-scam-syndicates/,Police not discounting condo guards aiding call centre scam syndicates,2023-10-24T17:20:30+08:00,"KUALA LUMPUR, Oct 24 — Police are not discounting the possibility of security guards in luxury condominiums around the Federal capital aiding call centre scam syndicates following the rise of these activities at such premises. Kuala Lumpur police chief Datuk Allaudeen Abdul Majid said 20 raids were conducted recently to detect the call centres, which were mostly operating behind the facade of luxury premises. “How can a luxury condominium allow foreign individuals to go in and out of their premises freely? Even for us (locals), it is hard,” he told the press after attending the Kuala Lumpur Police Chief’s monthly assembly today. Therefore, the police will check guards to track their involvement with syndicates, with Allaudeen advising luxury condominium management bodies to be vigilant of the call centres’ modus operandi. “We are preparing to work with condominium management bodies, and the District Commercial Crimes Investigation Division (CCID) has been mobilised to eradicate these syndicates once and for all,” he said, adding that Kuala Lumpur should be safeguarded from becoming the syndicates’ main hub. The CCID conducted 1,311 raids related to online crimes between January and September. Of that number, 71 investigations have been initiated with the detention of 855 individuals related to call centre scams. — Bernama "
https://selangorjournal.my/2023/10/company-managing-director-charged-with-submitting-false-claims/,Company managing director charged with submitting false claims,2023-10-24T16:01:19+08:00,"KUANTAN, Oct 24 — A managing director of a company pleaded not guilty in the Sessions Court here, today, to four counts of submitting false claims for the Penjana Kerjaya 2.0 incentive from the Social Security Organisation (Socso), amounting to RM59,560, two years ago. He was accused of committing the act at Wisma Perkeso, here, on June 24, 2021, an offence framed under Section 18 of the Malaysian Anti-Corruption Commission (MACC) Act 2009, which can be punished under Section 24(2) of the same law, which carries a maximum jail term of up to 20 years and a fine of not less five times the value of the claims or RM10,000, whichever is higher, upon conviction. He also pleaded not guilty to four optional charges of using fake documents as genuine, which are offences under Section 471 of the Penal Code, and can be punished according to Section 465 of the same law, which carries a maximum prison sentence of two years, or a fine or both, if convicted. MACC deputy public prosecutor Rifah Izzati Abdul Mutalif proposed bail of RM30,000, with the additional condition that the accused must report to the MACC office every month and surrender his passports to the court. Lawyer Vijaya Sandran, who represented Sentil Kumar, appealed for a lower bail, on the grounds that his client supported his ailing father and provided good cooperation throughout the investigation. Judge Datuk Ahmad Zamzani Mohd Zain allowed the accused bail of RM30,000 in one surety and additional conditions, and set Nov 23 for mention of the case and submission of documents. — Bernama "
https://selangorjournal.my/2023/10/govt-pensioner-loses-over-rm120000-in-phone-scam/,"Govt pensioner loses over RM120,000 in phone scam",2023-10-24T14:39:29+08:00,"IPOH, Oct 24 — A 61-year-old government pensioner claimed to have lost RM127,560 when she fell prey to a syndicate posing as a courier company employee and police officers recently. Perak police chief Datuk Seri Mohd Yusri Hassan Basri said that based on the police report received yesterday, it was found that the female victim from Kampung Sungai Tapah Tambahan here had been contacted by suspects, posing as a courier company employee and police officers. He said the investigation found that on Sept 25, the victim, who was at home at the time, received a phone call from an unknown individual who introduced himself as an employee of a courier company and said that the victim had a package delivery problem. He added that the victim was then purportedly connected to the Penang police contingent headquarters line by an employee of the courier company and had spoken to an ‘inspector’ and a ‘sergeant’. “The victim was tricked by the suspects who disguised themselves as police officers by providing a picture of the front of her bank card to them,” he said in a statement today. Mohd Yusri said the victim only became aware of the suspects’ fraud after her daughter checked her mobile phone. He said the victim suffered a total loss of RM127,560 in three transactions to three bank accounts belonging to different individuals between Oct 9 and 10, with the case now being investigated under Section 420 of the Penal Code. He also reminded the public to always be alert to suspicious phone calls, especially if they are allegedly from courier companies or government agencies. The public can call the National Scam Response Centre (NSRC) at 997 if they are victims of phone scams or cybercrimes and have just made a transaction to a mule account, he said. Any inquiries can also be forwarded to the CCID Infoline at 013-211 1222 via WhatsApp only, from 8am to 8pm while bank accounts and phone numbers that appear fraudulent can be checked at https://semakmule.rmp.gov.my. — Bernama "
https://selangorjournal.my/2023/10/man-fined-for-injuring-stepson-over-math-problems/,Man fined for injuring stepson over math problems,2023-10-23T19:51:52+08:00,"KUALA LUMPUR, Oct 23 — A nasi lemak seller was fined RM10,000 by the Sessions Court today for caning and causing injuries to his six-year-old stepson after the boy failed to solve mathematical problems. Judge Norina Zainol Abidin handed down the sentence after the 38-year-old pleaded guilty to the charge and ordered the accused to serve six months in jail if he failed to pay the fine. The court also ordered the accused to be placed on a five-year good behaviour bond, undergo counselling on parenting organised by the Social Welfare Department (JKM), and carry out 200 hours of community service to be completed within six months starting today. The man was charged with causing injuries to the boy at a house in Taman Sri Rampai, Wangsa Maju, at 6am on June 23. The charge, framed under Section 31(1)(a) of the Child Act 2001, carries a maximum fine of RM50,000, 20 years’ imprisonment, or both upon conviction. According to the case facts, the victim would get up as early as 5am to help his mother and the accused prepare nasi lemak before doing his homework. The accused scolded and beat the victim with a cane for being unable to answer mathematics questions. The boy then told his teacher about the incident before several JKM officers took him to a doctor, who later found the victim suffered a soft tissue injury over the posterior left knee and posterior right cart due to caning. Earlier, deputy public prosecutor Noorhani Muhmmed Ayub asked the court to impose a deterrent sentence against the accused to serve as a lesson for other parents and himself, to refrain from committing the same offence. “The title of father does not permit you to hit the victim to discipline him. The boy should not have been beaten in such a manner for failing to answer mathematics questions. “The victim needs a father’s love because his mother and biological father are divorced,” she said. In pleading for leniency, the accused’s lawyer Arik Zakri Abdul Kadir, said his client had to support his wife, who is four months pregnant. — Bernama "
https://selangorjournal.my/2023/10/appeals-court-reserves-verdict-in-cradle-fund-ceo-murder-case/,Appeals court reserves verdict in Cradle Fund CEO murder case,2023-10-23T19:44:12+08:00,"PUTRAJAYA, Oct 23 — The Court of Appeal has reserved its decision on the prosecution’s appeal against the acquittal of Samirah Muzaffar and two teenagers on the charge of murdering Cradle Fund chief executive officer (CEO) Nazrin Hassan. A three-member panel comprising Justices Datuk Vazeer Alam Mydin Meera, Datuk Ahmad Zaidi Ibrahim, and Datuk Azhahari Kamal Ramli also reserved its verdict over the trio’s appeal to challenge certain findings of facts by the High Court, including the findings that the fire which broke out in Nazrin’s room was “done deliberately”. Justice Vazeer Alam, who chaired the panel, said many issues were raised during the submissions by the prosecution and defence, and the panel needs to go through the evidence in detail. “Parties will be informed when we are ready, but it will not be long,” he said after the five-day appeal hearing, which began on September 4. Counsel Tan Sri Muhammad Shafee Abdullah, representing the trio, had earlier completed his submissions. The prosecution, led by deputy public prosecutor Datuk Yusaini Amer Abdul Karim, concluded its submissions on October 17. On June 21, 2022, the Shah Alam High Court freed Samirah, 48, who is also Nazrin’s widow, and two teenagers, who are now 21 and 18, of murdering Nazrin after finding the prosecution had failed to establish a prima facie case against the trio at the end of its case. The three of them and an Indonesian woman, Eka Wahyu Lestari, who is still at large, were charged with killing Nazrin, 45, at his house in Mutiara Damansara between 11.30pm on June 13, 2018, and 4am the following day. Earlier, Muhammad Shafee submitted that the demise of the deceased (Nazrin) was a tragic accidental death and not murder. He said the defence had unveiled compelling evidence and testimonies of witnesses who disproved the allegation of incendiary fire, the alleged finding of petrol and the various elements of the murder charge. The counsel pointed out that the prosecution has not presented any credible evidence, let alone circumstantial evidence pointing to the irresistible conclusion that the accused persons had committed the murder. “To date, the prosecution cannot explain how the deceased sustained the blast-type injuries and how the blast-like pattern appeared on the master bedroom wall. “As such, the defence humbly prays that the prosecution’s appeal be dismissed, and the trial’s judge’s order of discharge and acquittal on the accused persons be upheld. “The defence humbly seeks the intervention of this court to correct the misdirection of fact and law by the learned trial judge concerning the acceptance of the finding of incendiary fire and petrol by the Fire and Rescue Department,” said Muhammad Shafee. — Bernama "
https://selangorjournal.my/2023/10/cops-bust-heroin-lab-seize-rm1-87-mln-in-drugs/,"Cops bust heroin lab, seize RM1.87 mln in drugs",2023-10-23T19:32:42+08:00,"GEORGE TOWN, Oct 23 — The police busted a drug trafficking syndicate and heroin-processing laboratory following the arrest of four men and the seizure of RM1.87 million in various prohibited items during a series of raids in Penang. Penang police chief Datuk Khaw Kok Chin said the state Narcotics Crime Investigation Department (NCID), together with Bukit Aman NCID, launched a planned operation from 9am on Friday (October 20) until yesterday and raided six locations in the Timur Laut and Barat Daya districts. “In the first raid, police arrested a 27-year-old man, the mastermind, by the roadside in the Tanjung Tokong area at 9pm (on Friday) and seized various types of drugs in his car, parked about 200 metres away. “Police then arrested another man in the Gelugor area at 12.20am (on Saturday) and two more men, aged 28 and 33, at Lebuh Sungai Pinang at 1am (on Saturday). “Following the arrest of these three, we seized various types of heroin and syabu kept in cars parked not far from where they were detained. Their modus operandi is to leave the vehicles containing the drugs for the buyers to come and take them without the presence of the (arrested) suspects,” he told a press conference today. Khaw said based on the suspects’ directions, police then raided a two-storey bungalow lot in the Teluk Kumbar area at 7.10pm on Saturday and discovered a heroin-processing laboratory there. The syndicate is believed to have rented the premises, equipped with closed-circuit television (CCTV) cameras to detect the authorities. They are believed to have carried out their drug processing and trafficking activities since early this year. “Police then raided two more locations yesterday, and based on preliminary investigations, the syndicate obtained its drugs from abroad and processed them at the house before selling them to buyers for the local market, raking in hundreds of thousands of ringgit each month. “The four who were arrested were drug distributors. Several other suspects, believed to have expertise in ‘cooking’ heroin, are still on the loose, and we are tracking them down,” he said, adding the syndicate has a network abroad and in several other states. In the raids, police seized heroin weighing 23.38kg, heroin base (18.4kg), syabu (1.507kg), caffeine powder (94.4kg), and various types of chemicals used for processing heroin, along with three cars. The police also confiscated six cars, cash, jewellery, and two motorcycles, which amounted to RM191,595. The seized narcotics can feed the drug habit of an estimated 1.22 million addicts. “One of the suspects has a cleaning company, while the other three are unemployed. Two of them have drug and crime-related records,” he said, adding that all the suspects have been remanded for a week, and the case is being investigated under Section 39B of the Dangerous Drugs Act 1952. — Bernama   "
https://selangorjournal.my/2023/10/30-students-detained-for-various-drug-offences-in-kelantan/,30 students detained for various drug offences in Kelantan,2023-10-23T17:56:14+08:00,"KOTA BHARU, Oct 23 — Thirty students have been arrested in Kelantan for various drug offences from January to October this year said Kelantan Police chief Datuk Muhamad Zaki Harun. According to Muhamad Zaki, the students were detained under Section 15(1)(a) of the Dangerous Drugs Act 1952 and Section 12/2 ADB 1952. “Those arrested or detained were below the age of 17, and their background check revealed that they come from troubled families or broken families as well as failure to get attention. “We believe drug trafficking syndicates targetted students as these group can be easily coaxed into drugs as they found solace in drugs due to the status of their families. They are also attracted by the lavish lifestyle led by drug traffickers, and they start drug pedalling in small scale,” he told reporters at the Kelantan police headquarters, here today. He added that most of the students detained were involved in methamphetamine pill consumption that they had obtained at nearby schools bordering Tumpat and areas where social problems are high in Kelantan. Meanwhile, under Ops Tapis carried out by the Kelantan Narcotics Crime Investigation Department from Oct 18 to 22, 254 individuals were detained for various offences related to drugs. “Those detained were aged between 16 and 64, while drugs seized were worth more than RM660,000 and property seized amounted to RM115,000.00. “In the latest case on Saturday, police detained two suspects believed to be drug traffickers at Jalan Sultan Yahya Petra and seized 54,000 yaba pills worth RM594,000 and believed for distribution in Kota Bahru,” he said. Both suspects would be remanded for seven days (Oct 22 to 28) to assist investigations under Section 39B of the Dangerous Drugs Act 1952, he said. — Bernama "
https://selangorjournal.my/2023/10/security-guard-charged-with-possession-of-weapon-at-football-match/,Security guard charged with possession of weapon at football match,2023-10-23T14:41:05+08:00,"IPOH, Oct 23 — A security guard pleaded not guilty in the Magistrate’s Court here today to a charge of possessing a knife during a Malaysia Cup football match between Perak FC and Johor Darul Ta’zim (JDT) at the Perak Stadium, last Thursday. Azrul Faiz Mohd Rosli, 31, made the plea before Magistrate Siti Nora Sharif. He is charged under Section 6 (1) of the Corrosive and Explosive Substances and Offensive Weapons Act 1958 with possession of a knife at the B entrance of the Indera Mulia Stadium here at 8.45pm last Thursday. The law provides imprisonment for up to 10 years, upon conviction. Siti Nora allowed him bail of RM1,500 with one surety and set Dec 5 for mention. Earlier,  lawyer M. Kathan, representing Azrul Faiz, requested a low bail, saying that his client only earned RM1,800 and has a pregnant wife, three children and parents to support. Deputy public prosecutor Nur Aqilah Syaza Ariffin prosecuted. — Bernama "
https://selangorjournal.my/2023/10/businessman-held-to-assist-probe-in-airline-co-founder-case/,Businessman held to assist probe in airline co-founder case,2023-10-23T11:25:18+08:00,"KUALA LUMPUR, Oct 23 — Police have detained a businessman early this morning to assist investigation in the case of an airline company co-founder who was arrested last Tuesday. Bukit Aman Commercial CID director Datuk Seri Ramli Mohamed Yoosuf said the man in his 40’s who is a shareholder of one of the companies founded by the airline co-founder, was picked up from his house in Bangsar here at 1 am this morning. He said a remand application will be made this morning. Ramli said police seized 12 luxury vehicles, documents relating to the two companies of the co-founder who is has a ‘Datuk’ title as well as six luxury watches. “Police also confiscate six designer handbags, two laptops, a computer and 10 jewellery items. “The co-founder of the airline was released on police bail today after his remand period ended,” he told Bernama today. Last Tuesday, Bernama reported that police arrested the 57-year-old businessman along with his wife, 55, and son, 26, at their home in Shah Alam, Selangor to investigate a case under the Anti-Money Laundering, Anti-Terrorist Financing and Proceeds of Illegal Activities Act. 2001 (AMLA). The remand of the businessman’s wife and son ended on Saturday. — Bernama "
https://selangorjournal.my/2023/10/cops-nab-couple-seize-8-5kg-syabu-in-changlun/,"Cops nab couple, seize 8.5kg syabu in Changlun",2023-10-22T21:48:20+08:00,"JITRA, Oct 22 — Police arrested a husband and wife couple and seized drugs believed to be Syabu, weighing over 8.5kg and worth an estimated RM297,500 in Changlun near here on Oct 18. Kedah Narcotics Criminal Investigation Department (NCID) chief ACP Mohd Taufik Maidin said acting on a public tip-off, police detained a 28-year-old man outside a house in Changlun about 11.15pm.  Upon inspecting the man’s bag, the police team found eight transparent plastic packets containing drugs. “Following the arrest, the team detained the man’s wife, aged 20, in a car parked in front of an eatery in Changlun. Police also seized a car and jewellery valued at RM152,214,” he said in a press conference here today. The couple, working as helpers at an eatery, tested positive for methamphetamine and would be remanded until Oct 25 and the case investigated under Section 39B of the Dangerous Drugs Act 1952. — Bernama "
https://selangorjournal.my/2023/10/father-girlfriend-plead-guilty-to-neglecting-child/,"Father, girlfriend plead guilty to neglecting child",2023-10-22T19:57:01+08:00,"R. Thayalan, 37, and K. Mageswari, 26, were jointly charged for neglecting their seven-year-old son at a house in Taman Pulai Jaya here. They were charged under Section 31(1)(a) of the Child Act 2001, which carries penalties under the same act, and read together with Section 34 of the Penal Code, which provides imprisonment for a term not exceeding 20 years or find not more than RM50,000 or both, if found guilty. In separate charges, Mageswari, who is unemployed, pleaded not guilty to allegations of physical harm against the same victim, which could have resulted in physical injury to the right hand. She was charged under Section 31(1)(a) of the Child Act 2001 and can be punished under Section 31 (1) (a) of the same Act. Deputy Public Prosecutors Umar Faiz Kohar and S. Thiviya appeared for the prosecution, while the accused were unrepresented. Judge Fatimah Zahari set bail at RM6,000 each for both accused with one surety each, along with the additional conditions of surrendering the passports to the court and not to harass the prosecution witnesses. They were also ordered to report to the nearest police station every month. The court fixed Nov 21 as the next mention date and to appoint lawyers. — Bernama "
https://selangorjournal.my/2023/10/58-arrested-over-suspected-online-forex-investment-scam/,58 arrested over suspected online forex investment scam,2023-10-20T23:06:30+08:00,"KUALA LUMPUR, Oct 20 — The police arrested 58 individuals for suspected involvement in an online forex investment scam at three business premises in Bangsar yesterday. Brickfields district police chief ACP Amihizam Abdul Shukor said 24 local men and 32 local women, along with a foreign man and woman, all aged 20 to 59, were arrested in the raid, with 50 laptops, four mobile phones, nine computer tables, one WiFi modem, and two investment buntings seized. “Checks revealed there were elements of an online forex investment scam, and the syndicate was using social media platforms to promote and offer investments, targeting victims from various countries, including Malaysia, Vietnam, China, the Philippines, Singapore, as well as Europe,” he said in a statement today. Amihizam added that all suspects have been remanded until Monday (October 23) for investigations under Sections 420, 511, and 120(B) of the Penal Code. In a separate development, the police also arrested two local men, 42 to 62, for suspected involvement in drug trafficking in a raid in Taman Sri Petaling yesterday, seizing 5.2kg of Erimin 5 pills worth RM221,000. One of the suspects tested positive for drugs, and both have been remanded for six days until Wednesday (October 25) to facilitate investigations under Section 38(B) of the Dangerous Drugs Act 1952. — Bernama "
https://selangorjournal.my/2023/10/former-judge-businessman-fail-to-recover-funds-macc-seized/,"Former judge, businessman fail to recover funds MACC seized",2023-10-20T18:08:12+08:00,"PUTRAJAYA, Oct 20 — A former judge and a businessman failed again in their appeals today to recover RM182,100 seized by the Malaysian Anti-Corruption Commission (MACC) four years ago. This comes after a decision by the Court of Appeal’s three-judge panel, chaired by Datuk Vazeer Alam Mydin Meera, in dismissing the appeals by Azmil Muntapha Abas, 49, and Leong Peng Woon, 68, and upholding the decision of the Shah Alam High Court which dismissed the duo’s appeal to recover the money. Vazeer Alam, sitting with Judge Datuk Ahmad Zaidi Ibrahim and Datuk S. M. Komathy Suppiah, said in a unanimous decision there was no error in the High Court’s decision, and the respondent (prosecutor) had proved that the application to forfeit the right to the money was following the law. “We are also satisfied the claims of the two appellants have also been considered by both courts (High Court and Sessions Court), and the decision reached by the court is based on the correct facts and law. “Therefore, the appeals of both appellants are rejected,” he said. On November 23, 2021, the Sessions Court allowed the government’s application to forfeit the money found in Azmil Muntapha’s office during a raid conducted by the Malaysian Anti-Corruption Commission (MACC) in 2019. Azmil Muntapha, then the Judge of the Kuala Kubu Bharu Sessions Court, claimed he obtained the money from Leong, who is a contractor, through a RM200,000 loan to buy a house on auction in Hulu Selangor. The two then appealed against the decision in the High Court, which dismissed the appeals on April 10. Earlier, lawyer Awang Armadajaya Awang Mahmud, representing the appellants, submitted that the RM182,100 cannot be taken arbitrarily but can only be forfeited if the appellants failed to prove it was clean money. “The money is not related to official business but a loan from a friend to purchase a house in Hulu Selangor. The money has nothing to do with the corruption charge against the first appellant (Azmil Muntapha),” he said. Meanwhile, deputy public prosecutor Fauziah Daud said, as stated in the investigating officer’s affidavit, the money was confiscated in connection with an offence under Section 17 (a) of the MACC Act 2009, which is obtaining a bribe from an agent. “The first appellant said the money was borrowed from the second appellant (Leong), but the money in question was found in a very suspicious place, namely in the judge’s chambers. “Therefore, we are satisfied with the MACC’s investigation, which determined the money was from illegal sources,” she said. On October 19, 2022, Azmil was sentenced to six months in prison and fined RM25,000 by the Shah Alam Sessions Court after he was found guilty of corruption. Azmil Muntapha was charged as a Sessions Court judge to have obtained for himself RM5,000 without consideration from a person he knew had a connection with his official function involving court proceedings of six accused in criminal cases. He appealed against the decision, and the Shah Alam High Court reduced the sentence to one day jail and a RM12,000 fine. — Bernama "
https://selangorjournal.my/2023/10/palestinian-mans-kidnappers-charged-with-money-laundering/,Palestinian man’s kidnappers charged with money laundering,2023-10-20T17:29:38+08:00,"KUALA LUMPUR, Oct 20 — A married couple and a man facing a kidnapping charge against a Palestinian man, were also charged in the Sessions Court today with money laundering over RM250,000. Nidarahayu Zainal, 35, who faces 17 charges, while her husband, Raibafie Amdan, 40, and the other man, Tengku Arif Bongsu Tengku Hamid, 40, both with one count each, pleaded not guilty before Judge Mohd Kafli Che Ali. On the first to the fourth count, Nidarahayu was charged with disposing of RM20,650.86, believed to be proceeds of unlawful activities, from her CIMB Bank account into another CIMB Bank account and a Maybank Islamic Berhad at the CIMB Bank Taman Maluri Branch along Jalan Perkasa 1, Maluri, between September 15 and October 3, 2022. She also faces 13 charges of transferring RM184,985.46, believed to be proceeds of unlawful activities, from her bank savings account into bank accounts belonging to four companies and eight individuals at the same place between September 15 and October 2, 2022. Raibafie and Tengku Arif Bongsu were charged with receiving proceeds of unlawful activities amounting to RM30,350 and RM25,000, respectively, from two bank accounts belonging to Nidarahayu and a company at the CIMB Bank branches along Jalan Bukit Bintang and in Taman Mutiara, Cheras, between September 29 and October 2, 2022. The charges are framed under Section 4(1)(b) of the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act 2001, which provides imprisonment for up to 15 years and a fine of five times. The court allowed Nidarahayu RM60,000 bail with one surety for all charges, while Rabafie and Tengku Arif Bongsu’s bail was set at RM20,000 with one surety each. The trio were also ordered to surrender their passports to the court and to report themselves at the nearest police station monthly. The court set November 20 for mention. Deputy public prosecutors Rozaliana Zakaria and Nurul Wahida Jalaluddin prosecuted, while lawyer Goh Kim Lian represented Tengku Arif Bongsu. The married couple was unrepresented. The three accused were among 13 individuals charged in the Magistrate’s Court here last year with kidnapping a Palestinian man to solicit information on software to hack mobile phones. — Bernama "
https://selangorjournal.my/2023/10/man-jailed-fined-for-child-pornography-possession/,"Man jailed, fined for child pornography possession",2023-10-20T14:39:06+08:00,"TELUK INTAN, Oct 20 — A traditional medicine shop worker was sentenced to six months in jail and fined RM2,500 today, in default of five months in jail, by the Magistrate’s Court for possessing child pornography. Magistrate T. Ashvinii meted out the sentence on Liew Ming Hui, 24, after he pleaded guilty to the charge. Liew was charged with possession of child pornography, namely a pen drive containing 19,011 videos and pictures of children at No. 19 Atas, Lorong 1, Jalan Besar, Rancangan Perumahan Awam 2, Langkap, at 4.20pm on May 29. The charge was framed under Section 10 of the Sexual Offenses Against Children Act 2017 (Act 792), which provides a maximum prison sentence of five years or a fine not exceeding RM10,000 or both, if convicted. Liew, who works in a traditional medicine shop owned by his father, was represented by lawyer Jude Pereira. The lawyer had earlier requested a stay of execution of the sentence but was dismissed by the court. Deputy public prosecutor Izzuddin Fakri Hamdan prosecuted. — Bernama "
https://selangorjournal.my/2023/10/136-illegal-immigrants-held-in-raid-on-luxury-condo/,136 illegal immigrants held in raid on luxury condo,2023-10-20T11:09:10+08:00,"KUALA LUMPUR, Oct 20 — A total of 136 illegal immigrants occupying a luxury condominium on Jalan Munshi Abdullah here, including the penthouse unit, were detained in an operation held early this morning. Immigration director-general Datuk Ruslin Jusoh said the raid was carried out following intelligence and complaints from members of the public who claimed that there were too many foreigners in the area, raising concerns. He said those detained comprised 130 men and six women from Bangladesh, Indonesia, India, Nepal, Pakistan and Thailand, aged between 20 and 70, who committed various offences, including overstaying and lacking travel documents. “Our initial investigation found these foreigners were renting in two condominium blocks with three or four-bedroom units, housing at least eight individuals. “Some were found staying in the penthouse, which indicates that they have a good source of income,” he told reporters after the operation. Ruslin said the immigration would investigate and summon the homeowners and condominium management to determine whether the houses were rented by employers or the foreigners themselves. It is understood that most of the foreigners were renting rooms in the condominium with rental rates between RM500 and RM800 per month. He added that the condominium had been raided before and several illegal immigrants were detained. Meanwhile, Ruslin said a total of 3,016 foreigners were inspected in the operation that took place from 1 am to 4 am, involving 338 immigration personnel from Putrajaya, Melaka, Negeri Sembilan, Kuala Lumpur and the Kuala Lumpur International Airport. Those detained were taken to the Immigration Depot in Semenyih, Selangor for further investigation under the Immigration Act 1959/63, Passports Act 1966 and Immigration Regulations 1963. He also said that the Immigration Department had conducted 7,169 operations from January until Oct 18, resulting in the detention of 48,656 illegal immigrants and 245 employers. — Bernama "
https://selangorjournal.my/2023/10/airline-co-founder-relatives-remanded-four-days/,"Airline co-founder, relatives remanded four days",2023-10-18T19:44:41+08:00,"KUALA LUMPUR, Oct 18 — The co-founder of a local airline, with the title ‘Datuk’, and his wife and son have been remanded for four days starting today. Bukit Aman Commercial Crime Investigation Department director Datuk Seri Ramli Mohamed Yoosuf, when contacted, said the trio were remanded to facilitate investigations under the Anti-Money Laundering, Anti-Terrorism Financing, and Proceeds of Unlawful Activities Act 2001. Yesterday, Bernama reported the 57-year-old man, who is also a shareholder of the airline, his wife, 55, and their son, 26, were arrested at their residence in Shah Alam at 5.30pm. — Bernama "
https://selangorjournal.my/2023/10/couple-arrested-for-alleged-abuse-of-seven-year-old-boy-in-pulai/,Couple arrested for alleged abuse of seven-year-old boy in Pulai,2023-10-18T09:33:13+08:00,"JOHOR BAHRU, Oct 17 — A couple was arrested for allegedly abusing a seven-year-old boy at a house in Pulai here on Friday (Oct 13). Iskandar Puteri police chief ACP Rahmat Ariffin said the victim is the son of the 37-year-old man, whose girlfriend is 39. “The complainant, a woman, reported that she received information that the victim was in the bathroom of the house and appeared frail and severely malnourished. “Police then brought the victim to the police station. There were signs of physical abuse on the victim’s body, including old injuries. Both suspects were apprehended after a police report was filed at 4.13pm on Friday,” he said. Based on initial investigations, the victim had stopped schooling and was living with his biological father and his father’s girlfriend, Rahmat said, adding that the victim is receiving treatment at Sultanah Aminah Hospital here and is in stable condition. He said both suspects have been remanded for a week until Oct 19 and the case is being investigated under Section 31(1)(a) of the Child Act 2001. — Bernama   TAGS: Tuesday , 17 October 2023 "
