title,author,published_at,description
Foreign man killed after drunken brawl,Austin Camoens,"July 14, 2024 @ 10:28am","SEPANG: A drunken brawl between factory workers is believed to have led to the death of foreign man here on Friday. District police chief Assistant Commissioner Wan Kamarul Azran Wan Yusof said they were alerted by a medical officer at the Cyberjaya Hospital on Friday. ""The medical officer called us at around 9.40am and informed us that a foreign man had been brought to the hospital in an unconscious state with head and hand injuries. ""The 30-year-old victim was pronounced dead shortly after,"" he said in a statement today. He said checks revealed that the victim was found bloodied near the cabin he stayed at within the grounds of a factory at Pulau Meranti. ""Following the incident, police arrested eight men following raids at Kampung Pulau Meranti and Kampung Baru Sungai Buloh. ""The eight suspects are between 30 and 45 years old. ""We also seized a wooden stick which is believed to have been used to hit the victim,"" he said, adding that the case has been classified as murder. Anyone with information on the case can contact the Selangor police hotline at 03-2052 9999."
Police arrest man on suspicion of raping six-year-old girl,Sharifah Mahsinah Abdullah,"July 14, 2024 @ 9:37am","GUA MUSANG: Police have arrested a man suspected to have raped a six-year-old girl at a workers's quarters here yesterday. Gua Musang police chief, Superintendent Sik Choon Foo who confirmed the arrest, said the suspect, in his 50s, was detained soon after police received a report on the incident. It is learnt that villagers found the girl inside one of the rooms in the quarters before alerting her mother. The mother then brought her daughter back before lodging a police report. Police then sent the girl to the district hospital for medical check-up. According to the villagers, the suspect is familiar to girl's family and always bought treats for the girl. The suspect is expected to be remanded soon to assist police investigations into the case. The case is being investigated under Section 376 of Penal Code."
Couple held for alleged abuse of two children,Bernama,"July 14, 2024 @ 9:07am","CHUKAI: A couple was detained last night on suspicion of abusing their two children, aged six and seven. Kemaman district police chief Supt Hanyan Ramlan said the two suspects were arrested at their home on Jalan Jabor Kubur here at about 8pm following a public complaint. He said the 26-year-old female suspect is the victims' biological mother while the male suspect, 30, is their stepfather. ""Police received a report from a member of the public who witnessed the boy and his younger sister being beaten around 5pm on the same day in front of their house. ""The children were taken to Kemaman Hospital for examination, and medical officers found both old and new injuries on nearly their entire bodies,"" he said when contacted. According to Hanyan, the two victims are still receiving treatment at the hospital and are under the care of the Social Welfare Department. He added that both suspects would be remanded today to assist in the investigation under Section 31(1) of the Child Act 2001.– BERNAMA"
"Pahang cops seize drugs, shotgun and bullets from hut at plantation",T.n. Alagesh,"July 13, 2024 @ 8:36pm","KUANTAN: Police seized a shotgun along with bullets and drugs after raiding a hut located at a rubber plantation at Kampung Bukit Mat Daling near Ulu Tembeling, Jerantut on July 11. Two siblings were among three male suspects detained by the Jerantut Narcotics Crime Investigation Department team in the 6am raid where they had also recovered drugs worth RM6,000. Pahang police deputy chief Datuk Noor Hisam Nordin said the suspects, aged between 23 and 37, were resting inside the hut when the police ambushed them. ""Police recovered methamphetamine, heroin and ganja inside the hut along with a shotgun and seven bullets. The trio tested positive for methamphetamine. ""During the raid, police seized a Honda City car belonging to one of the suspects. They have been remanded until July 17 to assist investigations into the case,"" he said in a statement today. Noor Hisam said the case is being investigated under Section 39B of the Dangerous Drugs Act and Section 8(A) of the Firearms Act (Increased Penalties) 1971 for unlawful possession of firearms. He said the trio were among 323 people, including four women, aged between 16 and 63, detained for various drug offences during a four day special operation codenamed Op Hawk across Pahang which ended on July 12. Noor Hisam said during the operation which involved 118 policemen, four Road Transport Department and two Immigration Department officers, a total of 193 raids and 387 inspections were conducted in all 11 districts in Pahang. ""From the 323 people arrested, 42 were detained for supply or distribution of drugs, 77 for drug possession and 204 for failing drug tests. Eight men who were under the police wanted list for drug offences were arrested. ""Various types of drugs including heroin, syabu, ganja, yaba pills, eramin pills and ketum water estimated at RM97,147 were seized. Police also seized cash amounting RM30,600 during the operation,"" he said."
Event decorator held over drug possession,Mohd Haris Fadli Mohd Fadzil,"July 13, 2024 @ 8:00pm","KUALA LUMPUR: The luxurious lifestyle of an event decorator came under scrutiny when he was arrested with more than 25kg of drugs during raids in Cheras and Kajang yesterday. Cheras police chief Assistant Commissioner Ravindar Singh Sarban Singh said the 40-year-old man was arrested at noon with 22.67kg of cannabis and 27.76g of Erimin 5 in a Honda Insight car. Following interrogation, Cheras Narcotic Crime Investigation Department (NCID) also raided a luxury condominium in Kajang suspected to be used as a drug storage facility. ""The raid in Kajang yielded 4.29kg of cannabis valued at RM13,299 and resulted in the seizure of two vehicles — a Toyota Alphard and a Mini Cooper. ""Initial investigations suggest that the suspect has been actively involved in drug distribution sourced from around the Klang Valley since early this year."" He added that the suspect allegedly received supplies from other distributors in the city before distributing them in the Cheras area. However, the true source of the drugs remains under investigation. The suspect reportedly utilised a heavily guarded luxury condominium as a storage facility to evade authorities, a tactic that was eventually uncovered by the police. ""The suspect reportedly worked independently as an event decorator, using drug distribution as his primary source of income. ""This successful operation was made possible by public information provided to the police."" Ravindar said overall, police seized 24.96kg of cannabis, 27.75 g of Erimin 5 valued at RM77,947, RM3,000 in cash, and three vehicles. He estimated that the confiscated drugs could potentially cater to approximately 5,000 users in the Klang Valley. ""The suspect has been remanded for six days from yesterday until July 17 to assist in investigations under Section 39B of the Dangerous Drugs Act 1952. ""Police also encourages the public with any information to contact the Cheras district police at 03-92050222 or the Kuala Lumpur police hotline at 03-2115999."""
Drinking session between two workers ends with murder,Juwan Riduan,"July 13, 2024 @ 7:55pm","SANDAKAN: An altercation between two foreign workers of a palm oil plantation, who were allegedly drunk, turned deadly when one of them was murdered last Wednesday. The incident came to light the following day, after other plantation workers found the 43-year-old victim's body behind their quarters in Segaliud at around 6am. Acting District Police Chief Superintendent Ramasamy Kuppan said that based on preliminary investigations, the police believe the victim was murdered due to the slash wounds found on the back of his body and neck. ""Preliminary investigations revealed that the victim, who was also a worker at a nearby palm oil plantation, had visited his friend's house, where they are believed to have been drinking alcohol, on July 10. ""It is believed that while the victim was drinking with his friends, he was slashed by one of his colleagues using a sharp weapon,"" he said in a statement today. Ramasamy added that the suspect fled the scene immediately after the incident, and the police are actively trying to locate and arrest him. ""Checks at he scene also showed that the victim died at the location, and his body was only discovered by the plantation workers the following morning. ""Further investigation is ongoing, and the case is being investigated under Section 302 of the Penal Code for murder,"" he said."
Conditional sales of controlled goods: 164kg of cooking oil seized from Perak shop,Bernama,"July 13, 2024 @ 12:56pm","IPOH: The Perak branch of the Domestic Trade and Cost Living Ministry (KPDN) seized 164 kilogrammes of subsidised cooking oil in packets from a sundry shop in Alor Pongsu town, Parit Buntar yesterday. Perak KPDN director Datuk Kamalludin Ismail said an operation dubbed Op Samar was launched following public complaints about a shop imposing conditions on the purchase of subsidised 1kg packets of cooking oil. He said checks revealed the trader had set conditions requiring customers to purchase other items before being allowed to buy 1kg packets of cooking oil. ""An inspection of both the storage area and shelves at the premises uncovered 164 kg of packet cooking oil, estimated to be worth RM410. ""Following the discovery, a stock declaration order was then issued to the premises supervisor under Section 8 of the Control of Supplies Act 1961,"" he said. Kamalludin said the case was being investigated under the Control of Supplies Act 1961. If an individual is found guilty, they may be fined up to RM1 million or imprisoned for no more than three years, or both, while Any corporate body convicted of an offence against this act could face a fine not exceeding RM2 million. He said that KPDN will not compromise with any individuals or groups involved in the misuse of controlled goods, and will take stricter action, including prosecution in court.– Bernama"
"Johor police cripple syndicate smuggling contraband cigarettes, liquor worth RM725,324",Jassmine Shadiqe,"July 13, 2024 @ 12:35pm","JOHOR BARU: Police dismantled a smuggling syndicate's operation with the seizure of RM725,324 worth of contraband cigarettes and alcoholic beverages in operations conducted Masai and Tampoi on Wednesday and Friday. In the 7.30pm raid on Wednesday at a premises-turned-unlicensed storage facility in Taman Megah Ria, Masai, a 39-year-old man was arrested, and 70 cartons of alcoholic beverages worth RM60,324 were seized. Meanwhile, in the Friday raid at 9.30pm, state marine police officers inspected a five-tonne lorry along Jalan Persiaran Aliff Harmoni Utama, Tampoi, and discovered RM665,000 worth of duty-unpaid cigarettes. The lorry was seized and two men, aged 23 and 29, were arrested. Johor police chief Commissioner M. Kumar said the raids were conducted following intelligence gathered by the state marine police's intelligence unit. The suspects are expected to face charges under the Customs Act 1967 for smuggling goods without paying duty. He added similar raids will be conducted from time to time against those involved in smuggling and selling untaxed alcohol and cigarettes."
"Johor police cripple syndicate smuggling contraband cigarettes, liquor worth RM725,324",Jassmine Shadiqe,"July 13, 2024 @ 12:35pm","JOHOR BARU: Police dismantled a smuggling syndicate's operation with the seizure of RM725,324 worth of contraband cigarettes and alcoholic beverages in operations conducted Masai and Tampoi on Wednesday and Friday. In the 7.30pm raid on Wednesday at a premises-turned-unlicensed storage facility in Taman Megah Ria, Masai, a 39-year-old man was arrested, and 70 cartons of alcoholic beverages worth RM60,324 were seized. Meanwhile, in the Friday raid at 9.30pm, state marine police officers inspected a five-tonne lorry along Jalan Persiaran Aliff Harmoni Utama, Tampoi, and discovered RM665,000 worth of duty-unpaid cigarettes. The lorry was seized and two men, aged 23 and 29, were arrested. Johor police chief Commissioner M. Kumar said the raids were conducted following intelligence gathered by the state marine police's intelligence unit. The suspects are expected to face charges under the Customs Act 1967 for smuggling goods without paying duty. He added similar raids will be conducted from time to time against those involved in smuggling and selling untaxed alcohol and cigarettes."
"Op Khas Bersepadu Samseng Jalanan: Police seize 81 vehicles, issue 114 summonses",Audrey Dermawan,"July 13, 2024 @ 11:26am","BUTTERWORTH: Police seized 81 vehicles and issued 114 summonses for various traffic offences during a nine-hour long integrated operation here today. The federal and state Traffic Investigations and Enforcement Departments jointly conducted the Op Khas Bersepadu Samseng Jalanan together with the state Road Transport Department (RTD), the state Department of Environment (DoE), the National Anti-Drug Agency (AADK), the state Immigration Department and Plus Bhd auxiliary police. The operation, conducted from 1.30am to 10am, saw 250 motorcycles and two cars checked at the R&R Bagan Ajam along the Butterworth Outer Ring Road (BORR) here. The operation, involving more than 100 officers and personnel, was to curb illegal racing activity besides ensuring road users abided by the traffic rules to minimise the risk of road accidents. State police chief Datuk Hamzah Ahmad said besides the 81 vehicles seized under Section 64(1) of the Road Transport Act 1987 and 114 police summonses issued, the state RTD also issued 245 vehicle inspection notices under Section 61(1) of the Road Transport Act 1987.   He said they also seized 20 motorcycles. He said two compounds and two notices were also issued under the Environmental Quality Act 1974 by the DoE. ""The AADK also conducted urine tests on 98 individuals. Of the total, nine came back positive for various drugs. ""The collaboration between all agencies is a proactive step in curbing illegal racing and 'samseng jalanan',"" he said today. Hamzah said Penang police is committed to carrying out an advocacy programme to produce a generation of road users who adhere to the rules and road laws. ""As such, people, particularly the youth, are reminded not to involve themselves in illegal racing activity or any activities for the matter which can harm their lives and that of other road users,"" he added."
40 foreigners held in raid on luxury apartment in Brickfields,Bernama,"July 13, 2024 @ 10:26am","KUALA LUMPUR: The Kuala Lumpur Immigration Department detained 40 illegal immigrants in a luxury apartment in Brickfields during a four-hour operation which ended at 4am today. Its director, Wan Mohammed Saupee Wan Yusoff said in the raid, 25 Indian nationals, 10 Sri Lankans, two Pakistanis, two Bangladeshis and one Myanmar citizen, aged between three and 61, were detained. ""They are suspected of various offences including not possessing a passport or permit to stay in Malaysia, holding expired passports and overstaying,"" he said in a statement today. Each apartment unit involved in the raid is rented for over RM2,000 per month and is occupied by eight foreigners, mostly employed in construction and food sectors. All detained have been transferred to the Bukit Jalil Immigration Depot for further investigation under the Immigration Act 1959/63. — BERNAMA"
"Red Tag is authentic, used by Air Selangor on defaulters",Austin Camoens,"July 13, 2024 @ 8:21am","KUALA LUMPUR: An image is being circulated on social media and WhatsApp claiming that a water company red tag complete with QR code was being used by phishing scammers. Federal Commercial Crime Investigation Department (CCID) director Datuk Seri Ramli Mohamed Yoosuf said checks via the Commercial Crime Intelligent System (CCIS) and Integrated Police Reporting System (IPRS) showed that no reports have been lodged over the alleged modus operandi involving Air Selangor QR Code to commit scams. He said investigations revealed that Air Selangor has been using the tags for at least three years. ""The tags are placed near the water meter only when they have cut water supply to premises. ""The image shared is authentic,"" he said when contacted on Saturday.  He advised the public against scanning any unverified QR Code. ""In this instance especially, customers who have made their bill payments and do not have outstanding balances should contact the water company directly to verify if they receive such tags on their water meters,"" he said. Ramli reminded the public not to panic in such situations and always refer to the proper channels for verification. The image being circulated shows a red tag with the Air Selangor logo and a QR Code on it. The image is accompanied by a caption claiming that a tenant had his water supply suddenly cut, so he went out to check and saw this red tag. It also claimed that the QR code led to a website which at first glance looked like a legitimate Air Selangor website, but was not. ""It's a scam, like many other imitation website. ""Turns out the tap was turned off manually. Air Selangor doesn't operate this way,"" the caption read. Air Selangor has clarified via a post on its official Facebook page on Friday night that the tags were being used by its company, but only on customers who have outstanding bills. ""Following what is being circulated on social media, Air Selangor wants to clarify that the notices in question are currently being used for customers who have outstanding bills. ""For customers who do not have any outstanding bills who also receive the notice, contact Air Selangor at 15300 or direct enquiries to our Help Centre via the www.airselangor.com web portal and Air Selangor application,"" it said in a statement."
Reports: Govt says MACC trio acted without authorisation in case involving Chinese nationals,New Straits Times,"July 13, 2024 @ 12:13am","KUALA LUMPUR: The government has distanced itself from three Malaysian Anti-Corruption Commission (MACC) officers accused of robbing and extorting bribes from a Chinese national, reports said. In the report published by FMT, the government, in its defence to a lawsuit filed by Chinese national Gao Kun, said that three officers identified as Fahmee Nor, Azwad Asli, and Haffiz Radzi acted independently and that the raid in question was not part of their official duties. The government also said that there is no record of any investigation conducted on Gao, and the officers did not have authorization for the raid. According to the report, the government also asserted its right to seek indemnity from the trio for any liabilities towards Gao, who is a permanent resident under the Malaysia My Second Home programme. In the lawsuit filed by Gao on May 14, he named the government, the three officers, the MACC chief commissioner, and a politician and his wife as defendants. In his statement of claim, he alleged that the politician and his wife were involved in a purported raid on his home on Dec 10, 2021. He claimed the raid was facilitated by a tip-off from the couple, who are close associates of his family. Gao also alleged that after the raid, the politician's wife visited his apartment, offering to ""settle"" the matter for RM10 million. He further claimed that the couple had borrowed RM2.1 million from him around Feb 17, 2021, which remains unpaid, and had repeatedly sought an additional RM10 million loan, which he refused. In December last year, the three MACC officers pleaded not guilty to charges of gang robbery in the Kuala Lumpur Sessions Court."
MACC arrests three individuals for allegedly soliciting and accepting bribes,New Straits Times,"July 12, 2024 @ 10:12pm","KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) has arrested three individuals, including an officer and two low-ranking members of an enforcement agency, for allegedly soliciting and accepting bribes of RM20,000 in exchange for dropping a fraud case. According to sources, the trio have been remanded to facilitate investigation into the case. Magistrate Irza Zulaikha Rahanuddin yesterday granted the MACC's application to remand one of the three suspects, a male enforcement officer in his 30s, for five days until July 15. Today, Magistrate Learani Augustine granted the MACC's application to remand the two other suspects arrested in the case. The male officer, in his 30s, has been remanded for three days until Sunday (July 14), while a female enforcement officer in her 20s was remanded for two days until tomorrow (July 13). ""Initial investigations revealed that the complainant met with the officer to secure the release of his wife, who had been detained on July 8 on suspicion of involvement in a fraud case. ""However, the officer instructed the complainant to negotiate with another enforcement officer acting as an intermediary, through whom he was asked to provide approximately RM20,000. Sources said following the instruction, the complainant made an advance payment of about RM20,000 in two transactions to the said enforcement officer, which was believed to be intended for sharing among the officer and another enforcement officer. All three individuals were arrested during an operation conducted in Selangor and Kuala Lumpur from 6pm on Wednesday to midnight on Thursday. Kuala Lumpur MACC director Datuk Mohamad Fauzi Husin when contacted confirmed the arrests and said that the case is being investigated under Section 16(a)(A) of the MACC Act 2009."
