Title,Summary,Link,Author,Published Date,Published Time
"Malaysia and China agree to resolve South China Sea disputes by peaceful means, international law","KUALA LUMPUR: Malaysia and China have agreed to resolve disputes in the South China Sea by peaceful means, through friendly consultations and negotiations, in accordance with the universally recognised principles of international law, including the 1982 United Nations Convention on the Law of the Sea.",https://www.thestar.com.my/news/nation/2024/06/20/malaysia-and-china-agree-to-resolve-south-china-sea-disputes-by-peaceful-means-international-law,N/A,20 June 2024,07:20 PM
Malaysia and China ink 14 MOUs,"PUTRAJAYA: Malaysia and China have exchanged 14 memorandums of understanding (MOUs) through which both countries will share expertise and best practices, and collaborate in various fields.",https://www.thestar.com.my/news/nation/2024/06/19/malaysia-and-china-ink-14-mous,Tarrence Tan,19 June 2024,12:47 PM
"Over RM1bil lost to commercial crime in first half of 2024, says CCID director","KUALA LUMPUR: The number of losses from commercial crime cases has reached about RM1bil in the first six months of the year, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/06/22/over-rm1bil-lost-to-commercial-crime-in-first-half-of-2024-says-ccid-director,Farik Zolkepli,22 June 2024,02:31 PM
Two men extradited from Malaysia for alleged involvement in malware scams against Singaporeans,SINGAPORE: Two men aged 26 and 47 linked to malware scams against Singaporeans since June 2023 have been extradited from Malaysia and will be charged on Saturday (June 15).,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/06/15/two-men-extradited-from-malaysia-for-alleged-involvement-in-malware-scams-against-singaporeans,N/A,15 June 2024,12:00 PM
Malaysia and China to deepen National Security Framework says Saifuddin,"PUTRAJAYA: Malaysia and China have agreed to deepen the proposed National Security Framework scientifically, which is expected to benefit both countries, the region, and the world, says Home Minister Datuk Seri Saifuddin Nasution Ismail.",https://www.thestar.com.my/news/nation/2024/06/07/malaysia-and-china-to-deepen-national-security-framework-says-saifuddin,N/A,7 June 2024,04:12 PM
"Malaysia welcomes US shift on Israel-Palestine stance, says PM",KUALA LUMPUR: Prime Minister Datuk Seri Anwar Ibrahim expressed Malaysia's appreciation for the early signs of change in America's approach towards the Israeli occupation of Palestine.,https://www.thestar.com.my/news/nation/2024/06/06/malaysia-welcomes-us-shift-on-israel-palestine-stance-says-pm,N/A,6 June 2024,01:32 PM
"Police need more sophisticated equipment to combat crimes, says Zahid","BAGAN DATUK: Despite the increasing efficiency of police operations, police need more advanced equipment to combat crimes, said Deputy Prime Minister Datuk Seri Dr Ahmad Zahid Hamidi.",https://www.thestar.com.my/news/nation/2024/06/02/police-need-more-sophisticated-equipment-to-combat-crimes-says-zahid,N/A,2 June 2024,04:14 PM
Steering them away from a cycle of crime,PETALING JAYA: Eighteen delinquent children were put into a test programme more than four years ago.,https://www.thestar.com.my/news/nation/2024/06/17/steering-them-away-from-a-cycle-of-crime,N/A,17 June 2024,07:00 AM
Actress Thanuja Ananthan on why it's hard for her to find love in Malaysia: 'I'm too tall',Thanuja – who stands at 183cm – said her height has made it difficult to find a partner here.,https://www.thestar.com.my/lifestyle/entertainment/2024/06/03/actress-thanuja-ananthan-on-why-it039s-hard-for-her-to-find-love-in-malaysia-039i039m-too-tall039,Anndrea A. Webber,4 June 2024,09:00 AM
"Malaysia welcomes ICJ ruling to halt Rafah offensive, says Wisma Putra","KUALA LUMPUR: Malaysia welcomes the additional provisional measures by the International Court of Justice (ICJ), including the order for Israel to immediately halt its military offensive in Rafah.",https://www.thestar.com.my/news/nation/2024/05/25/malaysia-welcomes-icj-ruling-to-halt-rafah-offensive-says-wisma-putra,N/A,25 May 2024,04:13 PM
"Malaysia welcomes Madrid appellate court's decision to uphold Sulu arbitrator's conviction, says Azalina","PETALING JAYA: The Madrid Court of Appeal has upheld the Madrid Criminal Court judgement of Dec 22, 2023 that Gonzalo Stampa is guilty of contempt of court.",https://www.thestar.com.my/news/nation/2024/05/18/malaysia-welcomes-madrid-appellate-court039s-decision-to-uphold-sulu-arbitrator039s-conviction-says-azalina,R. Sekaran,18 May 2024,12:13 PM
"Slight increase seen in commercial crimes this year, says Bukit Aman","KUALA LUMPUR: The number of commercial crime cases has shown an increase in the first 20 weeks of the year, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/05/28/slight-increase-seen-in-commercial-crimes-this-year-says-bukit-aman,Farik Zolkepli,28 May 2024,12:56 PM
Malaysia's crime index down by 1.1%,"PETALING JAYA: The nationwide crime index rate fell 1.1%, with 25,482 cases recorded from January to June this year compared to 25,774 cases during the same period last year.",https://www.thestar.com.my/news/nation/2023/10/28/malaysia039s-crime-index-down-by-11,N/A,28 Oct 2023,09:38 PM
"Slight dip in commercial crime cases for first five months of 2024, says Bukit Aman","KUALA LUMPUR: The number of commercial crime cases decreased slightly during the first five months of this year compared to the same period last year, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/05/18/slight-dip-in-commercial-crime-cases-for-first-five-months-of-2024-says-bukit-aman,Farik Zolkepli,18 May 2024,11:14 AM
"Revisit of Zayn Rayyan crime scene depends on case's needs, says S'gor top cop","KUALA LUMPUR: Any decision to re-investigate the location where Zayn Rayyan Abdul Matiin's body was found as well as his Damansara Damai home will depend on the needs of the investigation, says Comm Datuk Hussein Omar Khan.",https://www.thestar.com.my/news/nation/2024/06/01/revisit-of-zayn-rayyan-crime-scene-depends-on-case039s-needs-says-sgor-top-cop,Farik Zolkepli,1 June 2024,12:22 PM
Najib turns to Court of Appeals in house arrest bid,PUTRAJAYA: Datuk Seri Najib Tun Razak has filed an appeal to the Court of Appeal against the dismissal of his application for leave to commence judicial review to challenge the existence of an addendum purportedly issued by the 16th Yang di-Pertuan Agong that would allow him to serve the remainder of his jail sentence under house arrest.,https://www.thestar.com.my/news/nation/2024/07/16/najib-turns-to-court-of-appeals-in-house-arrest-bid,Santhakumar A L,16 July 2024,06:24 PM
Partners in crime not quite as thick as thieves,A thief brutally murdered his accomplice for pretending to be asleep when they were caught by the railway supervisor of a weighbridge station that they wanted to rob.,https://www.thestar.com.my/news/nation/2024/05/24/partners-in-crime-not-quite-as-thick-as-thieves,N/A,24 May 2024,07:00 AM
Bukit Aman's Wildlife Crime Bureau expansion gets full WWF-Malaysia support,KOTA KINABALU: Environmental watchdog WWF-Malaysia has lauded Bukit Aman's plans to expand the scope of its Wildlife Crime Bureau (WCB).,https://www.thestar.com.my/news/nation/2023/06/27/bukit-aman039s-wildlife-crime-bureau-expansion-gets-full-wwf-malaysia-support,Durie Rainer Fong,27 June 2023,10:18 PM
"Malaysia, Kyrgyz Republic reaffirm commitment to increasing bilateral cooperation",BISHKEK: Malaysia and the Kyrgyz Republic affirmed their commitment to increasing bilateral cooperation for the benefit of both countries and their peoples on Wednesday (May 15).,https://www.thestar.com.my/news/nation/2024/05/15/malaysia-kyrgyz-republic-reaffirm-commitment-to-increasing-bilateral-cooperation,N/A,15 May 2024,06:04 PM
"Wildlife Crime Bureau launches raids leading to RM5mil worth of seizures, says Bukit Aman","PETALING JAYA: The Wildlife Crime Bureau under the Royal Malaysia Police launched six raids leading to over RM5mil in seizures, said Bukit Aman.",https://www.thestar.com.my/news/nation/2024/05/20/wildlife-crime-bureau-launches-raids-leading-to-rm5mil-worth-of-seizures-says-bukit-aman,Justin Zack,20 May 2024,08:10 PM
"Over 60% spike in commercial crime losses so far this year, says CCID director",KUALA LUMPUR: The amount of losses from commercial crimes rose some 62.1% to RM866.2mil between Jan 1 and April 28 over the year before.,https://www.thestar.com.my/news/nation/2024/05/03/over-60-spike-in-commercial-crime-losses-so-far-this-year-says-ccid-director,Farik Zolkepli,3 May 2024,11:47 AM
"Over 7,700 investigation papers opened on sexual offences against children since 2018","KUALA LUMPUR: A total of 7,727 investigation papers have been opened on sexual offences against children between 2018 and May this year.",https://www.thestar.com.my/news/nation/2024/07/17/over-7700-investigation-papers-opened-on-sexual-offences-against-children-since-2018,"Ragananthini Vethasalam, Tarrence Tan, Gerard Gimino",17 July 2024,09:19 AM
"Police and Pos Malaysia join forces to combat online scams, courier impersonation","IPOH: A total of 2,447 cases of online fraud were recorded across Perak with losses totalling RM77.86mil (RM77,864,189.14) last year.",https://www.thestar.com.my/news/nation/2024/03/26/police-and-pos-malaysia-join-forces-to-combat-online-scams-courier-impersonation,N/A,26 Mar 2024,10:11 PM
Malaysia condemns Israel’s 'barbaric' attacks on Palestinians on first day of Hari Raya,PETALING JAYA: The Foreign Ministry (Wisma Putra) has condemned Israel’s targeted attacks on Palestinians as “barbaric” following an airstrike on a refugee camp on the first day of Raya on Wednesday (April 10).,https://www.thestar.com.my/news/nation/2024/04/11/wisma-putra-condemns-israels-attack-on-palestinians-on-first-day-of-hari-raya,Benjamin Lee,11 Apr 2024,05:45 PM
Make social media platforms liable,,https://www.thestar.com.my/business/business-news/2024/07/17/make-social-media-platforms-liable,Risen Jayaseelan Risen Thestar.Com.My,17 July 2024,07:00 AM
"Cops raid Cheras call centre managing crime syndicates' finances, eight arrested","KUALA LUMPUR: Police have raided a call centre in Cheras believed to be managing finances for other crime syndicates, Bukit Aman says.",https://www.thestar.com.my/news/nation/2024/04/19/cops-raid-cheras-call-centre-managing-crime-syndicates039-finances-eight-arrested,Justin Zack,19 Apr 2024,03:20 PM
PKR Youth: Israel’s attack in Damascus a war crime,"KUALA LUMPUR: The raid on the Iranian diplomatic mission in Damascus recently, which took 18 innocent lives, including two senior government officials, must be viewed as another war crime committed by Israel, says the PKR Youth wing.",https://www.thestar.com.my/news/nation/2024/04/16/pkr-youth-israels-attack-in-damascus-a-war-crime,N/A,16 Apr 2024,07:00 AM
No to violence:  Bukit Aman's classified crimes investigation unit to probe attacks against footballers,"KUALA LUMPUR: Investigations into the attacks on national football players Akhyar Rashid, Faisal Halim and Safiq Rahim are now being handled by the Bukit Aman Classified Crime Investigation Unit (USJT), says Bukit Aman Criminal Investigation Department director Datuk Seri Mohd Shuhaily Mohd Zain.",https://www.thestar.com.my/news/nation/2024/05/08/no-to-violence--bukit-aman039s-classified-crimes-investigation-unit-to-probe-attacks-against-footballers,N/A,8 May 2024,10:01 PM
Imprisoned but not convicted of a crime – it can happen in Malaysia,"More than 40% of the people in Malaysian prisons have not been convicted of any crime yet they can spend months, sometimes years, behind bars awaiting a trial.",https://www.thestar.com.my/lifestyle/living/2023/02/15/imprisoned-but-not-convicted-of-a-crime---it-can-happen-in-malaysia,Mangai Balasegaram,15 Feb 2023,06:00 PM
‘Malaysia can join ICC to pressure Israel over Palestine’,"Malaysia can do more to quell Israeli atrocities in Gaza by becoming party to the Rome Statute, which will allow it to bring a case before the International Criminal Court (ICC), says prominent senior lawyer Andrew Khoo.",https://www.thestar.com.my/news/focus/2024/03/03/malaysia-can-join-icc-to-pressure-israel-over-palestine,Syed Umar Ariff,3 Mar 2024,07:00 AM
Ayob Khan: Police need to always evolve to fight crime,"KUALA LUMPUR: The rapid change in technology requires the police to constantly improve the capabilities of its personnel in combating crime, especially cybercrime and the abuse of new psychoactive substances (NPS), says Deputy Inspector-General of Police Datuk Seri Ayob Khan Mydin Pitchay.",https://www.thestar.com.my/news/nation/2024/05/08/ayob-khan-police-need-to-always-evolve-to-fight-crime,N/A,8 May 2024,07:00 AM
"School ahead, slow down","KUALA LUMPUR: The speed limit at school zones will soon be lowered to 30kph from the current 40kph to lower the rate of accidents and create a safer environment for students, says Datuk Seri Dr Ahmad Zahid Hamidi.",https://www.thestar.com.my/news/nation/2024/07/16/school-ahead-slow-down,Charles Ramendran Charles.Ramen Thestar.Com.My,16 July 2024,07:00 AM
New unit to tackle high-tech crimes,"KUALA LUMPUR: The police force is planning to set up a new department in Bukit Aman to focus on digital crime to keep up with the ever-changing technological landscape, says Tan Sri Razarudin Husain.",https://www.thestar.com.my/news/nation/2024/03/26/new-unit-to-tackle-high-tech-crimes,"Austin Camoens, Gerard Gimino",26 Mar 2024,07:00 AM
Ceasefire for Gaza: Malaysia's gambit,"Apart from utilising diplomatic channels to penalise Israel for the atrocities in Gaza, experts say Malaysia can invoke the Genocide Convention, among others, to pressure the Zionist regime.",https://www.thestar.com.my/news/focus/2024/03/03/ceasefire-for-gaza-malaysia039s-gambit,Syed Umar Ariff,3 Mar 2024,07:00 AM
When work in Malaysia is a con,How did Malaysia end up with a foreign labour recruitment system that allows so many workers to be exploited so horrendously?,https://www.thestar.com.my/lifestyle/living/2024/03/14/when-work-in-malaysia-is-a-con,Mangai Balasegaram,14 Mar 2024,07:00 PM
Missing Thai woman reportedly arrested in Malaysia: local media,"A Thai restaurant owner in Malaysia revealed that a Thai woman, who disappeared on March 8, has been arrested by Malaysian police. She is reportedly safe but will be unable to contact her family until her interrogation is complete.",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/03/16/missing-thai-woman-reportedly-arrested-in-malaysia-local-media,S. Navalan,16 Mar 2024,06:06 PM
"Over RM770mil lost to commercial crimes in Q1, says Bukit Aman","KUALA LUMPUR: The amount of losses to commercial crime nationwide has seen a significant spike of 87% to RM770mil within the first three months of the year, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/03/28/over-rm770mil-lost-to-commercial-crimes-in-q1-says-bukit-aman,Farik Zolkepli,28 Mar 2024,04:58 PM
"MACC arrests three enforcement officials for receiving RM20,000 bribe to drop fraud case",KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) arrested an enforcement officer and two enforcement personnel suspected of soliciting and accepting bribes in return for dropping a fraud case.,https://www.thestar.com.my/news/nation/2024/07/12/macc-arrests-three-enforcement-officials-for-receiving-rm20000-bribe-to-drop-fraud-case,N/A,12 July 2024,10:36 PM
Victims of AI-generated deepfakes urged to lodge police reports,"KUALA LUMPUR: Victims of scams involving fake videos and images, or deepfakes, created using artificial intelligence (AI) technology are urged to come forward to lodge a report to facilitate further action, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/07/16/victims-of-ai-generated-deepfakes-urged-to-lodge-police-reports,N/A,16 July 2024,09:03 AM
‘Continue to improve crime prevention measures’,"PETALING JAYA: The policing strategies by the police that led to a significant progress in decreasing crime rates during festive seasons in the recent years should be implemented throughout the year, says criminologist Datuk Dr P. Sundramoorthy.",https://www.thestar.com.my/news/nation/2024/02/29/continue-to-improve-crime-prevention-measures,Charles Ramendran,29 Feb 2024,07:00 AM
Bukit Aman wants to set up new digital crime department,"KUALA LUMPUR: Bukit Aman hopes to set up a new department which will focus on digital crime, says Tan Sri Razarudin Husain.",https://www.thestar.com.my/news/nation/2024/03/25/bukit-aman-wants-to-set-up-new-digital-crime-department,"Austin Camoens, Gerard Gimino",25 Mar 2024,12:35 PM
Customs foils bid to smuggle 22 million illicit smokes through Malaysia,JOHOR BARU: The Customs Department has seized more than 22 million contraband cigarettes found in two containers from Cambodia at the Port of Tanjung Pelepas (PTP).,https://www.thestar.com.my/news/nation/2024/04/21/customs-foils-bid-to-smuggle-22-million-illicit-smokes-through-malaysia,Mohd Farhaan Shah,21 Apr 2024,12:20 PM
IGP: Malaysia not a drug-exporting country,"JOHOR BARU: Malaysia is not a drug exporting country, but may have been used as a transit hub for drug smuggling, says Tan Sri Razarudin Husain.",https://www.thestar.com.my/news/nation/2024/03/14/igp-malaysia-not-a-drug-exporting-country,Venesa Devi,14 Mar 2024,07:30 PM
Crime threatens Malaysia’s  economic recovery,From RAYMON RAM of Petaling Jaya.,https://www.thestar.com.my/opinion/letters/2022/04/18/crime-threatens-malaysiaseconomic-recovery,N/A,18 Apr 2022,07:00 AM
Esscom vows to reduce cross-border crimes,KUALA LUMPUR: The Eastern Sabah Security Command (Esscom) vows to reduce the prevalence of cross-border crime plaguing the Eastern Sabah Security Zone (ESS Zone).,https://www.thestar.com.my/news/nation/2024/03/14/esscom-vows-to-reduce-cross-border-crimes,N/A,14 Mar 2024,03:16 PM
IGP: Malaysia may be a transit hub for drugs,"JOHOR BARU: Malaysia may not be a drug exporting or producing country, but there is a possibility it is being used as a transit hub for drug smuggling activities, says Tan Sri Razarudin Husain.",https://www.thestar.com.my/news/nation/2024/03/15/igp-malaysia-may-be-a-transit-hub-for-drugs,Venesa Devi Venesa Thestar.Com.My,15 Mar 2024,07:00 AM
Crime and punishment in Malaysia,,https://www.thestar.com.my/opinion/letters/2022/09/05/crime-and-punishment-in-malaysia,N/A,5 Sept 2022,07:00 AM
Singaporean man caught trying to illegally enter Malaysia in a car boot,"ISKANDAR PUTERI: A Singaporean man was caught trying to enter Malaysia illegally through the Bangunan Sultan Iskandar Customs, Immigration and Quarantine (CIQ) complex.",https://www.thestar.com.my/news/nation/2024/03/04/singaporean-man-caught-trying-to-illegally-enter-malaysia-in-a-car-boot,Mohd Farhaan Shah,4 Mar 2024,03:06 PM
"More environmental crimes convicted in court last year, says Nik Nazmi","KUALA LUMPUR: Cases involving environmental crimes convicted in court increased to 409 cases last year compared to 289 cases in 2019, said Natural Resources and Environmental Sustainability Minister Nik Nazmi Nik Ahmad.",https://www.thestar.com.my/news/nation/2024/03/21/more-environmental-crimes-convicted-in-court-last-year-says-nik-nazmi,N/A,21 Mar 2024,08:59 PM
Singapore says fugitive Jho Low still wanted in 1MDB case,SINGAPORE (Bloomberg): Singapore authorities say they are still pursuing Malaysian fugitive Low Taek Jho in connection with a multibillion-dollar scandal related to 1Malaysia Development Bhd.,https://www.thestar.com.my/news/nation/2024/07/16/singapore-says-fugitive-jho-low-still-wanted-in-1mdb-case,Low De Wei,16 July 2024,07:03 PM
Crime rate dips over CNY,"PETALING JAYA: The Chinese New Year break is getting safer, it seems.",https://www.thestar.com.my/news/nation/2024/02/29/crime-rate-dips-over-cny,Charles Ramendran,29 Feb 2024,07:00 AM
INTERACTIVE: Drug addiction in Malaysia and the govt's aim to decriminalise it,"Here’s an overview of drug addiction in Malaysia, in light of the government’s plan to stop looking at it as a crime to be punished, but rather as a problem to be treated with rehabilitation.",https://www.thestar.com.my/starplus/2024/03/01/interactive-drug-addiction-in-malaysia-and-the-govt039s-aim-to-decriminalise-it,Yuen Meikeng,1 Mar 2024,08:00 AM
"RM100 fine in Esha cyberbullying case not a deterrent, says Fahmi","KUALA LUMPUR: Communications Minister Fahmi Fadzil has voiced his disappointment with the RM100 fine imposed on a woman in the cyberbullying case of late Hindu rights activist and influencer A. Rajeswary, or Esha.",https://www.thestar.com.my/news/nation/2024/07/17/rm100-fine-in-esha-cyberbullying-case-not-a-deterrent-says-fahmi,N/A,17 July 2024,12:47 PM
Customs seizes luxury SUV brought into Malaysia without AP,"SEPANG: The Royal Malaysian Customs Department seized a luxury vehicle that did not have an import permit (AP) estimated to be worth about RM2 million at the MasKargo Complex, Free Commercial Zone, of the KL International Airport (KLIA), on March 25.",https://www.thestar.com.my/news/nation/2024/04/01/customs-seizes-luxury-suv-brought-into-malaysia-without-ap,N/A,1 Apr 2024,01:53 PM
"Asean News Headlines at 10pm on Sunday (July 14, 2024)","Here's a look at the news highlights from Asean countries in the Star-AseanPlus section for Sunday (July 14, 2024)",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/07/14/asean-news-headlines-at-10pm-on-sunday-july-14-2024,S. Navalan,14 July 2024,10:12 PM
Two TikTok users charged,"KUALA LUMPUR: Two people have been brought to the Sessions and Magistrate’s Courts here over communication offences on TikTok linked to the death of social media influencer A. Rajeswary, better known as Esha.",https://www.thestar.com.my/news/nation/2024/07/17/two-tiktok-users-charged,"Nurbaiti Hamdan, Benjamin Lee Newsdesk Thestar.Com.My",17 July 2024,07:00 AM
QuickCheck: Did police nab a runner red-handed with 16kg of drugs near the Malaysia-Thailand border?,"The border between Malaysia and Thailand is often bustling with activities, from tourism to commerce.",https://www.thestar.com.my/news/true-or-not/2024/01/26/quickcheck-did-police-nab-a-runner-red-handed-with-16kg-of-drugs-near-the-malaysia-thailand-border,N/A,26 Jan 2024,08:43 PM
"Malaysia welcomes ICJ ruling in Israel genocide case, says Wisma Putra",PUTRAJAYA: Malaysia welcomes the decision of the International Court of Justice (ICJ) in the case initiated by South Africa against Israel concerning the application of the 1948 Convention on the Prevention and Punishment of the Crime of Genocide.,https://www.thestar.com.my/news/nation/2024/01/27/malaysia-welcomes-icj-ruling-in-israel-genocide-case-says-wisma-putra,N/A,27 Jan 2024,10:43 AM
‘Fight crime better through stronger public-police ties’,"KUALA LUMPUR: Improving the level of trust between the public and the police is essential in forging stronger bonds and cooperation in the fight against crime, says Tan Sri Lee Lam Thye.",https://www.thestar.com.my/news/nation/2024/03/11/fight-crime-better-through-stronger-public-police-ties,Farik Zolkepli Farik Thestar.Com.My,11 Mar 2024,07:00 AM
"Situation in US under control after Trump attack, says Nazri","PETALING JAYA: The situation remains under control in the United States following the attempted assassination of Donald Trump at a campaign rally, says Datuk Seri Nazri Aziz.",https://www.thestar.com.my/news/nation/2024/07/16/situation-in-us-under-control-after-trump-attack-says-nazri,Rahimy Rahim Rahimyr Thestar.Com.My,16 July 2024,07:00 AM
Malaysia to join hearing at The Hague,PETALING JAYA: Malaysia will participate in the public hearing next month at the International Court of Justice (ICJ) on Israel’s policies and practices in the Occupied Palestinian Territory.,https://www.thestar.com.my/news/nation/2024/01/25/malaysia-to-join-hearing-at-the-hague,Mergawati Zulfakar,25 Jan 2024,07:00 AM
"Malaysia to present oral submission to ICJ on Feb 22, says Mohamad Hasan","REMBAU: Malaysia will present its oral submission at the International Court of Justice (ICJ) in The Hague, Netherlands, regarding Israel's atrocities against Palestine on Feb 22, says the Foreign Minister.",https://www.thestar.com.my/news/nation/2024/01/27/malaysia-to-present-oral-submission-to-icj-on-feb-22-says-mohamad-hasan,N/A,27 Jan 2024,07:44 PM
Comprehensive law vital in stamping out cyberbullying,"IN today’s digital age, the scourge of cyberbullying has become a pervasive and insidious threat, particularly to the young and vulnerable.As Internet penetration and social media use rise in the country, so does the incidence of cyberbullying.",https://www.thestar.com.my/opinion/columnists/the-star-says/2024/07/14/comprehensive-law-vital-in-stamping-out-cyberbullying,The Star Says,14 July 2024,07:00 AM
"Malaysia pledges to explore all avenues to help Palestinians, says Wisma Putra","PUTRAJAYA Malaysia has pledged to explore all available avenues to assist Palestine, end the atrocities in Gaza, and bring Israel to justice, says the Foreign Ministry (Wisma Putra).",https://www.thestar.com.my/news/nation/2024/01/22/malaysia-pledges-to-explore-all-avenues-to-help-palestinians-says-wisma-putra,N/A,22 Jan 2024,12:54 PM
"Deputy Speaker files police report over TikTok video, claims defamation",KUALA LUMPUR: Parliament Deputy Speaker Datuk Ramli Mohd Nor has filed a police report against a TikTok user for allegedly defaming him in a series of videos.,https://www.thestar.com.my/news/nation/2024/07/16/deputy-speaker-files-police-report-over-tiktok-video-claims-defamation,"Tarrence Tan, Ragananthini Vethasalam, Gerard Gimino",16 July 2024,05:40 PM
"I didn't defame Guan Eng, merely spoke about MACC investigation, Muhyiddin tells court",KUALA LUMPUR: Tan Sri Muhyiddin Yassin has told the High Court that he did not defame Lim Guan Eng about the tax exemption issue involving Yayasan Albukhary.,https://www.thestar.com.my/news/nation/2024/07/16/i-didn039t-defame-guan-eng-merely-spoke-about-macc-investigation-muhyiddin-tells-court,N/A,16 July 2024,05:40 PM
"UN sec-gen acknowledges Malaysia's efforts on Palestine, Myanmar, says Wisma Putra",PUTRAJAYA: The United Nations Secretary-General (UNSG) Antonio Guterres told Foreign Minister Datuk Seri Mohamad Hasan that he acknowledged Malaysia's efforts on the situations in Palestine and Myanmar.,https://www.thestar.com.my/news/nation/2024/01/24/un-sec-gen-acknowledges-malaysia039s-efforts-on-palestine-myanmar-says-wisma-putra,N/A,24 Jan 2024,10:12 PM
"CCTV helped greatly in assisting crime-busting efforts, says KL's top cop",KUCHING: Sarawak is looking forward to the special department or institution for children proposed by the Federal Government.,https://www.thestar.com.my/news/nation/2023/12/20/cctv-helped-greatly-in-assisting-crime-busting-efforts-says-kl039s-top-cop,Farik Zolkepli,20 Dec 2023,12:00 PM
Nur Farah Kartini's alleged boyfriend remanded seven days to assist in murder probe,"KUALA LUMPUR: A man believed to be the boyfriend of Nur Farah Kartini Abdullah, 25, who is suspected of murdering the woman, has been remanded for seven days to assist in the investigation of the case, Malay language daily Sinar Harian reports.",https://www.thestar.com.my/news/nation/2024/07/16/nur-farah-kartini039s-alleged-boyfriend-remanded-seven-days-to-assist-in-murder-probe,N/A,16 July 2024,11:27 AM
